mdc,mdc_label
1,"Nervous System, Diseases & Disorders"
2,"Eye, Diseases & Disorders"
3,"Ear, Nose, Mouth, & Throat, Diseases & Disorders"
4,"Respiratory System, Diseases & Disorders"
5,"Circulatory System, Diseases & Disorders"
6,"Digestive System, Diseases & Disorders"
7,"Hepatobiliary System & Pancreas, Diseases & Disorders"
8,"Musculoskeletal System & Connective Tissue, Diseases & Disorders"
9,"Skin, Subcutaneous Tissue & Breast, Diseases & Disorders"
10,"Endocrine, Nutritional, And Metabolic, Diseases & Disorders"
11,"Kidney And Urinary Tract, Diseases & Disorders"
12,"Male Reproductive System, Diseases & Disorders"
13,"Female Reproductive System, Diseases & Disorders"
14,"Pregnancy, Childbirth, & The Puerperium"
15,Newborns And Neonate Conditions Began In Perinatal Period
16,"Blood, Blood Forming Organs,Immunological, Diseases & Disorders"
17,Myeloproliferative Diseases & Poorly Differentiated Neoplasms
18,Infectious & Parasitic Diseases
19,Mental Diseases & Disorders
20,Alcohol-Drug Use And Alcohol-Drug Induced Organic Mental Diseases
21,"Injuries, Poisonings, And Toxic Effects Of Drugs"
22,Burns
23,Factors On Health Status & Other Contacts With Health Services
24,Multiple Signficant Trauma
25,Human Immunodeficiency Virus Infections